time	V(control)	V(n001)	I(R1)
3.500000344677740e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500000597836106e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500000850191061e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500001082684073e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500001305863577e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500001545666992e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500001769190920e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500001835081244e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001851978432e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001855094513e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001856035259e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001856311994e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001856526954e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001856753969e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001857054759e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001857342195e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001857753273e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001858235749e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001859050574e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001860375700e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001863025951e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500001868326454e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500002023325549e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500002188657918e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500002430860495e+00	0.000000e+00	-1.499987e+01	1.499987e-02
3.500002539817035e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500002662232486e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500002779803003e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500002904217273e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500003048771771e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500003223347138e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500003572497871e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500004270799339e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500005244292416e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500007191278572e+00	0.000000e+00	-1.499986e+01	1.499986e-02
3.500011085250882e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.000000000000000e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.000000001000000e+00	5.000000e+00	-1.499969e+01	1.499969e-02
4.000000001108885e+00	5.000000e+00	-1.499969e+01	1.499969e-02
4.000000001254064e+00	5.000000e+00	-1.499969e+01	1.499970e-02
4.000000001753493e+00	5.000000e+00	-1.499970e+01	1.499970e-02
4.000000002093939e+00	5.000000e+00	-1.499970e+01	1.499970e-02
4.000000002589528e+00	5.000000e+00	-1.499970e+01	1.499970e-02
4.000000003159886e+00	5.000000e+00	-1.499970e+01	1.499970e-02
4.000000004068208e+00	5.000000e+00	-1.499971e+01	1.499971e-02
4.000000005433823e+00	5.000000e+00	-1.499971e+01	1.499971e-02
4.000000008165053e+00	5.000000e+00	-1.499973e+01	1.499973e-02
4.000000013627512e+00	5.000000e+00	-1.499975e+01	1.499975e-02
4.000000022115414e+00	5.000000e+00	-1.499978e+01	1.499978e-02
4.000000038281184e+00	5.000000e+00	-1.499982e+01	1.499982e-02
4.000000054712100e+00	5.000000e+00	-1.499985e+01	1.499985e-02
4.000000070156676e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000087540400e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000106312853e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000130828420e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000162237416e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000210354012e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000289445557e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000447628648e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000000682346992e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000001078704788e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000001477289401e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000002014148087e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000002574695356e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000004676862157e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000006779028959e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000008881195760e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000010983362561e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000013085529362e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000015187696164e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.000017289862965e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.500000001000000e+00	5.000000e+00	-1.499986e+01	1.499986e-02
4.500000002000000e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500000018000001e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500000020692184e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500000025234757e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000034319902e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000052490192e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000088830772e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000141718971e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000218098557e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000344677733e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000597836085e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500000850191037e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500001082684050e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500001305863555e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500001545666972e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500001769190900e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500001835081228e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001851978416e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001855094497e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001856035243e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001856311978e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001856526938e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001856753951e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001857054741e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001857342177e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001857753254e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001858235731e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001859050555e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001860375680e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001863025930e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500001868326430e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500002023325417e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500002188657668e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500002430861114e+00	0.000000e+00	-1.499987e+01	1.499987e-02
4.500002539817703e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500002662233501e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500002779804291e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500002904218756e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500003048773495e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500003223349363e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500003572501101e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500004270804576e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500005244302987e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500007191299807e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.500011085293449e+00	0.000000e+00	-1.499986e+01	1.499986e-02
4.955406220264424e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.000000000000000e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.000000001000000e+00	5.000000e+00	-1.499969e+01	1.499969e-02
5.000000001108885e+00	5.000000e+00	-1.499969e+01	1.499969e-02
5.000000001254064e+00	5.000000e+00	-1.499969e+01	1.499970e-02
5.000000001753493e+00	5.000000e+00	-1.499970e+01	1.499970e-02
5.000000002093939e+00	5.000000e+00	-1.499970e+01	1.499970e-02
5.000000002589528e+00	5.000000e+00	-1.499970e+01	1.499970e-02
5.000000003159886e+00	5.000000e+00	-1.499970e+01	1.499970e-02
5.000000004068208e+00	5.000000e+00	-1.499971e+01	1.499971e-02
5.000000005433823e+00	5.000000e+00	-1.499971e+01	1.499971e-02
5.000000008165053e+00	5.000000e+00	-1.499973e+01	1.499973e-02
5.000000013627512e+00	5.000000e+00	-1.499975e+01	1.499975e-02
5.000000022115414e+00	5.000000e+00	-1.499978e+01	1.499978e-02
5.000000038281183e+00	5.000000e+00	-1.499982e+01	1.499982e-02
5.000000054712099e+00	5.000000e+00	-1.499985e+01	1.499985e-02
5.000000070156675e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000087540399e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000106312851e+00	5.000000e+00	-1.499986e+01	1.499986e-02
